date	run	questions	lane	status	summary
2026-08-06	12	Q11	probe	error	[cells=0] Phase C骨架日誌(commit 024c57a)提交後job中斷,無探針程式碼/資料輸出/ledger行,依program.md 1.3由run13補記
2026-08-06	13	Q13,Q10	audit	inconclusive	[cells=0] run8(Q10)獨立復算稽核(audit,無directional證據,方向二M維持24):24格決定性統計量逐位元重現,9010錨點A/B/R改由15m獨立資料路徑重算|ΔR|>1e-6列數0/9010,bbw_pct與桶別0不一致,diag丟棄計數10/10守恆;唯一修正為精度限定-未調整顯著「5格」在預登記boot=20000下實為4~6格(2刀鋒格),boot=400000才收斂5格;判準數字全穩(調整後1格14/14一致,cap上界≤0.189%<0.20%)故Q10 weakens裁決不變
2026-08-06	14	Q9,Q11	probe	error	[cells=0] 骨架日誌(commit 877b3479)提交後job中斷,無探針程式碼/資料輸出/ledger行,依program.md 1.3由run15補記;原計畫擴大Phase A/B至XRP/LINK/AVAX共6標的
2026-08-06	15	Q9,Q11	probe	error	[cells=0] 骨架日誌(commit b7b1c73)提交後job中斷,無探針程式碼/資料輸出;計畫(擴大Phase A/B至XRP/LINK/AVAX共6標的)由run16原地續做
2026-08-07	16	Q9,Q11	probe	error	[cells=0] 骨架日誌(commit 1e55586)提交後job中斷,無探針程式碼/資料輸出;計畫(擴大Phase A/B至XRP/LINK/AVAX共6標的)由run17原地續做
2026-08-07	17	Q9,Q11	probe	supports	[cells=0] Phase A新增XRP/LINK/AVAXx2024-01~03(9pair-month零缺零缺,交叉驗證誤差0,合計6/10標的);Phase B 6標的重跑頭條格位+115個Q9翻轉格位,90/115落auto側(負)/25落reverse側,經濟量級>1%的42格全站auto側(run11為40/91);逐標的auto準確率87.70~93.34%(跨度5.64pp);最強反駁:6標的仍共用同一窗口(2024Q1單邊上漲),窗口維度外部效度未驗證
2026-08-07	18	Q14,Q10	audit	inconclusive	[cells=0] Q10對照組R_flip獨立實作復驗(audit,無directional證據,M維持24),補上run13自陳唯一缺口:ε≠+1分支三項確定性檢定逐位元通過(max|Δ|=0),獨立MC三組seed(含Philox,float64)24格差異max7.2e-4、|z|max2.29、|z|>3為0/24,ε抽樣無偏、float32影響僅1.7e-6;判定重推三組全得調整後1格([0.10,0.25)x24h),cap上界≤0.0914%、調整後CI上界≤0.1906%<0.20%<0.28%,Q10 weakens不變;Philox組多出的第6格正是run13指認刀鋒格
2026-08-07	19	Q9,Q11	probe	supports	[cells=0] 窗口維度外部效度:選trend_ratio最小季(2024Q3=0.033,既有窗口0.817)重跑BTC/ETH/SOL,auto準確率幾乎不變(差距<=0.73pp),排除單邊漲勢人工產物反駁;頭條格位仍負;115翻轉格位100%落auto側但量級縮至<0.13%(既有窗口部分>1%)
2026-08-07	20	Q11	probe	error	[cells=0] 骨架日誌(commit 8a8c225)提交後job中斷,無探針程式碼/資料輸出/ledger行,計畫(擴大Phase A/B至ADA/DOGE/BNB/LTC共10標的)由run21原地續做
2026-08-07	21	Q11	probe	error	[cells=0] 骨架日誌(research/log/2026-08-07-run21.md,SHA因shallow clone不可考)提交後job中斷,無探針程式碼/資料輸出/ledger行,依program.md 1.3由run22補記;計畫與run20相同,連續第二次撞同一失敗模式,人類已登記為Q15
2026-08-07	22	Q16,Q10	audit	inconclusive	[cells=0] Q10聚合式覆核(無directional證據,M維持24):cap_prod對run8逐位元重現(1.1e-16pp);Cov(dR,amp)24/24格全正、配對式E[dR*amp]頭條0.0886->0.2157%,但純iid H0安慰劑證偽此表象(dR|z|<=1.63卻cov全正、corr+0.24~+0.30)=>配對式虛無下即有正偏、無效;偏差差n倍(Cov vs Cov/n)=>預登記乘積式是唯一H0置中候選,選對了但理由本輪才補;三版本最大0.0886/0.2157/0.1429%全<0.28%,Q10 weakens不變;新記精度限定-run8反駁3「四門檻全打不過」是聚合式相依的
2026-08-07	23	(none)	-	blocked	[cells=0] backlog盤點:全部open/watching項目(Q15/Q11/Q12/Q16prime/Q4)均待人類裁決或review,Q5距上次文獻調研僅6天不值得重掃,誠實記blocked;順手修正Q7狀態標籤(人類裁決早存在,header未同步)
2026-08-07	24	Q4	audit	inconclusive	[cells=0] backlog對Q4的狀態描述(PR待review)已過時5天,實查PR#8已於2026-08-02合併且5天存檔穩定(issue#10/11/12/16/19零缺天);首次讀取forward證據對照DETECTOR_PREREG升級判準:scored_total 79->97尚未達100門檻,net24h_mean連續5天為負(-0.13~-0.21%),勝率連續5天>50%但AND條件不成立;結論與現行定位一致,無需改動
2026-08-07	25	Q17,Q4	audit	inconclusive	[cells=0] run24稱A/B分級forward mean/勝率查不到,實查PR#18(08-06合併)已使issue#19附帶完整97筆forward_scored_series,run24讀同issue但未讀完附加TSV;逐筆重算A級n=40 mean約-0.35pct 勝率50.00pct(20/40,卡門檻),B級n=57 mean約-0.12pct 勝率50.88pct,全體約-0.21pct/50.5pct與production聚合值吻合;升級判準A/B/全體三組全未同時達標,run24結論不變但覆核範圍補齊
2026-08-07	26	(none)	-	blocked	[cells=0] backlog盤點(升級版,外部API查證):Q15/Q12/Q16prime三則待裁決issue零留言零標籤,PR全部已合併無open項,Daily Pulse Archive尚無新一天;agent可執行backlog連續確認為空,誠實記blocked
2026-08-08	27	Q18	audit	inconclusive	[cells=0] forward journal首次達≥100筆結算門檻:A n=40 mean-0.348%/勝50.00%,B n=60 mean-0.052%/勝53.33%,全體n=100 mean-0.170%/勝52.00%,三組皆未同時滿足mean>0且勝率>50%,升級判準未觸發(人類裁決範疇)
